bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
558	9	9	0	153	204029	233915	9997	1974	151342	9024	6495	86600	411	1187	89415	9108	5196	79873	345	1072	86718	8794	5523	81248	339	979	100400	8022	7666	78988	420	1142	85629	8713	7359	75378	422	
558	9	10	0	80	189227	227527	8820	1732	117289	9409	7822	87191	392	935	108469	9023	5581	83883	341	1126	92154	8802	4769	77578	380	948	83553	9851	4809	77557	389	1025	87522	9796	6936	90338	428	
620	10	1	0	71	217464	314284	16024	3191	169435	11035	10690	107210	467	1431	108620	11253	6376	95116	478	1137	172041	16961	10398	124620	541	1547	115334	9809	7041	95476	405	1182	141187	11160	10878	98578	607	
620	10	2	0	78	183901	236973	9564	1909	110250	10075	8426	93156	443	1197	96450	9916	7688	86298	411	1003	94010	9727	6333	84646	330	1073	109803	10053	12049	96418	439	1060	115116	10268	7657	87813	398	
620	10	3	0	61	172315	233641	9512	1544	108973	11343	7682	90834	399	934	93202	10064	5884	87621	418	1026	100142	10103	7348	84625	372	8369	195337	20897	11416	123180	802	2007	110220	11268	9032	91305	425	
620	10	4	0	80	178391	243672	10082	1743	117044	10105	5963	96145	456	1077	101049	11950	7694	92232	399	1103	103517	10425	8138	93318	344	1049	100108	12126	7592	89508	393	1049	146031	11291	12944	114535	513	
620	10	5	0	63	180843	239591	10187	1851	129925	10587	6522	97182	440	1102	105301	10613	7525	95259	421	1145	153510	11326	6358	109731	520	1529	129487	12008	7648	135429	839	2294	170756	12830	9523	97645	482	
620	10	6	0	68	178496	236090	10130	1800	119633	10351	5576	98393	469	1104	123545	11061	6060	94361	483	1241	105917	10325	7359	102506	468	1134	98893	10809	4586	90956	385	1125	100999	11032	6954	93778	464	
620	10	7	0	64	163208	227124	10064	1437	114372	10390	4423	137173	931	2203	126348	12383	5246	104872	353	1235	151590	10134	6531	175013	983	2651	142522	10228	26010	162094	915	1958	182296	10055	9929	100282	512	
620	10	8	0	61	223115	318088	14977	3133	146427	11002	9979	107530	490	1364	100888	11019	8250	89719	435	1246	100166	10639	6490	84344	431	1038	180541	31019	11165	106364	677	1440	107510	10827	6954	91674	395	
620	10	9	0	72	184745	265784	10968	1937	116880	15871	10489	96631	464	1204	141535	16849	10214	112099	462	1574	125167	11087	7437	92726	432	1351	102574	11653	6665	99704	861	2232	129921	10820	8809	97083	532	
620	10	10	0	60	198849	267818	9639	1965	113340	10507	9811	101425	464	1127	125659	10445	9235	94396	423	1256	105954	11124	5241	91391	346	1032	102655	9959	9544	90900	394	1083	98242	10187	9266	88086	431	
682	11	1	0	61	242396	308724	10919	1719	163453	12480	11613	119201	614	1525	115577	11107	9037	99886	415	1261	103087	10992	19175	100833	381	1239	111276	10943	8296	97489	385	1006	128553	12327	9145	110231	445	
682	11	2	0	68	213568	265590	10926	1674	223415	13043	11407	150878	465	1653	113307	12259	7733	105216	418	1374	113619	10687	8566	217390	750	2317	120319	12952	9746	105579	365	1226	110692	20909	8779	132386	784	
682	11	3	0	69	199211	252924	17760	2405	147742	11557	8920	118555	479	1280	132455	13375	8020	184304	983	2847	237062	44330	9445	115230	622	1400	116921	10861	7457	102626	461	1200	106022	11957	7179	98043	481	
682	11	4	0	80	202889	319331	10945	1754	121964	11829	8525	104384	397	1038	111494	11407	6793	135276	547	1580	158795	17631	12044	151069	794	2064	162908	23612	10966	120349	515	1415	116155	12077	6720	100153	380	
682	11	5	0	70	198669	272715	10864	1697	124672	11838	9873	110752	443	1281	180618	13001	13004	115144	457	1454	115144	13575	8001	103481	387	1063	116109	12425	8998	100827	405	1130	104881	11564	9205	99125	466	
682	11	6	0	80	263118	266153	11310	2028	149096	11628	9418	101065	380	1092	102675	12417	8056	94006	450	1071	108657	11670	8069	92142	364	1074	103248	11402	8290	91459	367	952	149461	13500	9722	111388	540	
682	11	7	0	76	195473	239611	10180	1721	121621	10503	5757	98321	386	1033	102350	10612	6639	94298	371	1036	97415	12640	6255	91953	328	936	110119	12624	5735	89103	354	902	97588	11303	6480	90267	381	
682	11	8	0	56	153618	224875	10185	1416	116181	11065	6015	96120	432	980	105785	12511	5362	91817	343	1134	106236	11597	5751	90490	332	992	103962	11659	6732	88762	353	982	96872	10727	6727	88434	354	
682	11	9	0	52	147629	221632	9954	1331	129571	10620	5523	98018	473	1288	104381	10778	5587	93327	347	1102	106634	10785	7086	92139	627	1524	117543	10308	7288	92473	344	1103	99767	12620	5152	90424	382	
682	11	10	0	56	168108	231079	10134	1276	111132	11302	6631	95751	350	1096	98308	10115	6366	92546	367	1104	98848	12443	6029	91243	335	955	96077	12379	6562	91383	365	1021	95504	12552	6162	91079	358	
744	12	1	0	49	214352	259465	11440	1715	127463	13054	7619	106305	383	1030	109554	13431	5594	101992	358	1252	107733	11684	7059	112090	390	1123	114609	12941	8100	97337	387	1103	111103	49917	16150	151676	616	
744	12	2	0	61	190792	258979	11965	1714	129777	14047	8358	108127	370	1112	109078	13502	9364	101887	331	1155	112942	13310	7784	99810	382	999	104144	14687	6246	97786	383	1075	110675	14661	7147	98498	441	
744	12	3	0	52	191632	256454	11122	1455	128151	12280	8832	105885	362	1071	118674	15323	8008	114992	361	1188	113732	12494	7911	106477	360	1081	122104	12552	7169	104556	357	993	121159	12641	9259	102434	399	
744	12	4	0	54	206496	268686	11617	1411	131886	13816	11062	114003	370	1101	124125	12006	7657	110595	384	1069	131744	14469	9508	122456	477	1411	140212	15634	8751	122731	510	1166	134240	14753	7537	125249	472	
744	12	5	0	57	254765	443347	25418	7363	363379	20419	12847	133367	700	1794	174087	13547	9543	106713	392	1345	110057	13512	9524	101032	378	1053	103835	12989	6495	110910	396	1175	116750	12146	7326	115686	418	
