bundles_count	numberOfGoals	variability	execIndex	changing_goals_0	dam_updated_0	deployment_change_planned_0	deployment_change_excuted_0	dam_updated_1	deployment_change_planned_1	deployment_change_excuted_1	dam_updated_2	deployment_change_planned_2	deployment_change_excuted_2	dam_updated_3	deployment_change_planned_3	deployment_change_excuted_3	dam_updated_4	deployment_change_planned_4	deployment_change_excuted_4	dam_updated_5	deployment_change_planned_5	deployment_change_excuted_5	dam_updated_6	deployment_change_planned_6	deployment_change_excuted_6	dam_updated_7	deployment_change_planned_7	deployment_change_excuted_7	dam_updated_8	deployment_change_planned_8	deployment_change_excuted_8	dam_updated_9	deployment_change_planned_9	deployment_change_excuted_9	dam_updated_10	deployment_change_planned_10	deployment_change_excuted_10	
5146	83	2	5	117	2633443	2772073	78379	6528	1266561	176117	183977	943668	62141	5782	945822	514681	368182	1144388	251298	7843	1441647	177785	210937	1220800	71062	7423	1022018	355949	243544	1781067	184996	4677	1585089	156362	174609	1169778	1361	
5208	84	2	5	113	2394557	2782442	82997	5154	1600887	125329	177456	1105373	926	5390	1160580	172086	180850	1036133	76023	3608	1063075	132208	187035	1880308	1258	6177	1960978	250198	178515	1641642	116490	5521	1312638	199014	177140	1007587	70448	
5270	85	2	5	83	3534509	7042345	176589	6314	1754030	134860	206875	1664677	1127	4811	1455145	224865	280949	1467654	1024	7904	1332114	224869	175727	1286615	121652	3421	1234748	107527	143974	1284551	856	4443	1556602	145258	170450	1376725	1022	
5332	86	2	5	401	3858459	7170192	305391	5392	1884572	129346	212219	1466593	1143	11046	1526918	462164	194931	1406959	347621	5286	1226943	199147	193468	1630224	95475	4521	1578851	147394	209752	1406827	945	3217	1342398	115848	164762	1311032	684	
5394	87	2	5	145	3897377	4900290	195931	6556	2005613	222578	191626	1673003	74681	8291	1371085	257713	159862	1327775	203467	8916	1735811	355973	206875	1495349	213196	5664	1450543	121378	193824	1375237	840	2945	1502804	123262	179870	1323888	735	
5456	88	2	5	109	3535550	6154919	197494	6260	1730324	127008	211447	1903610	1286	6504	1573712	195023	220339	1866591	85945	8418	1787662	192967	199642	1429951	76696	5703	1599229	202513	229500	1629967	77515	6442	1494331	217320	177305	1530674	79182	
5518	89	2	5	135	3859744	6090525	207820	5373	1842054	141324	191565	1535654	1183	4886	1617820	133201	170379	2096675	1179	7740	1475172	189677	181401	1354791	74843	3470	1530056	197379	199111	1613656	93859	6429	1581255	136934	191562	1362742	816	
5580	90	2	5	112	3954258	6768338	222177	7129	2168083	347083	232377	1376959	71285	4128	1308195	107318	184318	1716885	969	8011	1730181	311947	287763	1826184	82447	7964	1992249	285576	262310	1875645	176545	9682	1857199	232120	207508	1535123	98230	
5642	91	2	5	108	4044916	6298744	190466	6128	2050964	223778	228856	2396663	80190	5594	1449890	134673	202100	1442820	1485	7753	1981481	146994	300498	1745456	1607	7090	1441416	129575	180890	1438128	966	11086	1384086	132459	191619	1393094	1116	
5704	92	2	5	151	4200282	6991678	207549	8050	1614877	192218	173630	1384539	74309	6672	1478050	137921	178408	1931229	1160	8397	1555620	143750	192895	1507020	918	3019	1596536	155807	228658	2116878	1341	4824	1603213	137331	183247	1559304	1004	
5766	93	2	5	107	3923163	6456996	189403	7198	2179436	215525	197459	1472250	74250	7033	1693143	288923	202818	1512490	160960	4887	2179560	146840	214916	1674737	1167	9507	1678268	277150	180362	1463182	145802	3876	2122462	258842	195213	1828585	92290	
5828	94	2	5	120	4255741	6195693	194842	4772	1709866	204593	353367	1623510	1021	5075	1414937	137328	199573	1371779	968	8874	1705590	242539	173561	1972516	169092	4495	1556615	144041	213392	1450211	1133	3829	1398090	134661	199426	1335320	842	
5890	95	2	5	113	4303203	6646300	204285	8027	1886514	326177	235719	1421771	220508	3515	1336142	203411	251253	2233869	5771	5588	1749252	189222	206958	1501650	1007	5093	1471557	147309	305196	2083342	1135	4880	1672937	140235	197402	1707572	1157	
